"","Date","County","Count","pop","case_percapita"
"20575",2016-06-02,"JEFFERSON",4,660343,6.05745801803002e-06
"20577",2016-06-02,"LAMAR",0,13928,0
"20579",2016-06-02,"LAUDERDALE",0,92425,0
"20581",2016-06-02,"LAWRENCE",1,33227,3.00960062599693e-05
"20583",2016-06-02,"LEE",0,159168,0
"20585",2016-06-02,"LIMESTONE",0,92847,0
"20587",2016-06-02,"LOWNDES",0,10248,0
"20589",2016-06-02,"MACON",0,19060,0
"20591",2016-06-02,"MADISON",0,356729,0
"20593",2016-06-02,"MARENGO",0,19525,0
"20595",2016-06-02,"MARION",0,29960,0
"20597",2016-06-02,"MARSHALL",0,95113,0
"20599",2016-06-02,"MOBILE",0,414945,0
"20601",2016-06-02,"MONROE",0,21548,0
"20603",2016-06-02,"MONTGOMERY",0,227170,0
"20605",2016-06-02,"MORGAN",1,119006,8.40293766700839e-06
"20607",2016-06-02,"PERRY",0,9532,0
"20609",2016-06-02,"PICKENS",0,20325,0
"20611",2016-06-02,"PIKE",0,33464,0
"20613",2016-06-02,"RANDOLPH",0,22504,0
"20615",2016-06-02,"RUSSELL",0,58185,0
"20617",2016-06-02,"SHELBY",0,211282,0
"20619",2016-06-02,"SAINT CLAIR",0,87306,0
"20621",2016-06-02,"SUMTER",0,12967,0
"20623",2016-06-02,"TALLADEGA",0,80552,0
"20625",2016-06-02,"TALLAPOOSA",0,40586,0
"20627",2016-06-02,"TUSCALOOSA",0,206464,0
"20629",2016-06-02,"WALKER",0,64533,0
"20631",2016-06-02,"WASHINGTON",0,16621,0
"20633",2016-06-02,"WILCOX",0,10844,0
"20635",2016-06-02,"WINSTON",0,23907,0
"20637",2016-06-03,"AUTAUGA",1,55243,1.81018409572254e-05
"20639",2016-06-03,"BALDWIN",1,207601,4.81693248105741e-06
"20641",2016-06-03,"BARBOUR",0,25806,0
"20643",2016-06-03,"BIBB",0,22586,0
"20645",2016-06-03,"BLOUNT",1,57494,1.7393119282012e-05
"20647",2016-06-03,"BULLOCK",0,10389,0
"20649",2016-06-03,"BUTLER",0,20012,0
"20651",2016-06-03,"CALHOUN",2,114973,1.73953884825133e-05
"20653",2016-06-03,"CHAMBERS",0,33745,0
"20655",2016-06-03,"CHEROKEE",0,25768,0
"20657",2016-06-03,"CHILTON",0,43866,0
"20659",2016-06-03,"CHOCTAW",0,13045,0
"20661",2016-06-03,"CLARKE",0,24340,0
"20663",2016-06-03,"CLAY",0,13393,0
"20665",2016-06-03,"CLEBURNE",0,14848,0
"20667",2016-06-03,"COFFEE",0,51202,0
"20669",2016-06-03,"COLBERT",0,54497,0
"20671",2016-06-03,"CONECUH",0,12500,0
"20673",2016-06-03,"COOSA",0,10819,0
"20675",2016-06-03,"COVINGTON",0,37382,0
"20677",2016-06-03,"CRENSHAW",0,13916,0
"20679",2016-06-03,"CULLMAN",0,82450,0
"20681",2016-06-03,"DALE",0,49362,0
"20683",2016-06-03,"DALLAS",0,40080,0
"20685",2016-06-03,"DE KALB",0,71104,0
"20687",2016-06-03,"ELMORE",1,81204,1.23146643022511e-05
"20689",2016-06-03,"ESCAMBIA",0,37475,0
"20691",2016-06-03,"ETOWAH",0,102855,0
"20693",2016-06-03,"FAYETTE",0,16563,0
"20695",2016-06-03,"FRANKLIN",0,31611,0
"20697",2016-06-03,"GENEVA",0,26494,0
"20699",2016-06-03,"GREENE",0,8482,0
"20701",2016-06-03,"HALE",0,14828,0
"20703",2016-06-03,"HENRY",0,17072,0
"20705",2016-06-03,"HOUSTON",0,104218,0
"20707",2016-06-03,"JACKSON",2,51988,3.84704162499038e-05
"20709",2016-06-03,"JEFFERSON",2,660343,3.02872900901501e-06
"20711",2016-06-03,"LAMAR",0,13928,0
"20713",2016-06-03,"LAUDERDALE",0,92425,0
"20715",2016-06-03,"LAWRENCE",0,33227,0
"20717",2016-06-03,"LEE",0,159168,0
"20719",2016-06-03,"LIMESTONE",0,92847,0
"20721",2016-06-03,"LOWNDES",0,10248,0
"20723",2016-06-03,"MACON",0,19060,0
